portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,93793980,ETH-USD,BUY,2021-03-22T12:31:45.384Z,0.00556781,ETH,1787.1,0.049751166255,-9.999984417255,USD
default,95138871,ETH-USD,BUY,2021-03-29T12:21:46.657Z,0.00557802,ETH,1783.83,0.049751197083,-9.999990613683,USD
default,95202676,BTC-USD,BUY,2020-06-20T18:45:46.660Z,0.00142458,BTC,9275.61,0.066069242469,-13.279917736269,USD
default,95308415,BTC-USD,BUY,2020-06-22T17:43:55.361Z,0.00104204,BTC,9587.01,0.049950239502,-10.039998139902,USD
default,11704338,LTC-BTC,BUY,2021-10-20T02:46:56.008Z,0.01699112,LTC,0.002928,2.487499968e-7,-0.0000499987493568,BTC
default,11712511,GRT-USD,BUY,2021-05-10T12:59:29.149Z,17.42000000,GRT,1.5196,0.13235716,-26.60378916,USD
default,11755249,LTC-BTC,BUY,2021-10-25T14:40:25.379Z,0.01541142,LTC,0.003099,2.387999529e-7,-0.0000479987905329,BTC
default,11829281,LTC-BTC,BUY,2021-11-03T13:06:11.381Z,0.01420105,LTC,0.003223,2.288499207e-7,-0.0000459988340707,BTC
default,46182137,LTC-USD,SELL,2020-08-17T04:41:30.411Z,0.26310221,LTC,63.13,0.0830482125865,16.5265943047135,USD
default,46493589,LTC-USD,SELL,2020-09-01T16:49:01.701Z,0.19945893,LTC,64.17,0.0639963976905,12.7352831404095,USD
default,69683501,LTC-USD,SELL,2021-06-06T13:34:22.948Z,0.07715615,LTC,175.36,0.06765051232,13.46245195168,USD
default,61489176,ETH-USD,BUY,2020-08-07T19:40:46.413Z,0.02650784,ETH,375.37,0.049751239504,-9.999999140304,USD
default,61633915,ETH-USD,BUY,2020-08-10T15:06:09.636Z,0.02518285,ETH,395.12,0.04975123846,-9.99999893046,USD
default,62306934,LTC-USD,BUY,2021-04-25T13:47:28.772Z,0.04342053,LTC,229.16,0.049751243274,-9.999999898074,USD
default,62845969,ETH-USD,SELL,2020-08-28T17:31:42.106Z,0.02518285,ETH,395.82,0.049839378435,9.918036308565,USD
default,62846019,ETH-USD,SELL,2020-08-28T17:33:15.096Z,0.02020784,ETH,395.29,0.039939785368,7.948017288232,USD
