Exchange,Product,Datetime,Transaction Type,Order Size,Market Price,Order Fee,Order Note
coinbase_pro,BTC-USD,2020-06-20T18:45:46.660Z,Buy,0.00142458,9275.61000000,0.06606924,
coinbase_pro,BTC-USD,2020-06-22T17:43:55.361Z,Buy,0.00104204,9587.01000000,0.04995024,
coinbase_pro,LTC-USD,2021-06-26T03:42:15.349Z,Sell,0.10000000,124.97000000,0.00000000,Sold 0.10000000 LTC for 0.00039452 BTC
coinbase_pro,BTC-USD,2021-06-26T03:42:15.349Z,Buy,0.00039452,31594.62000000,0.06263633,Bought 0.10000000 LTC with 0.00039452 BTC
coinbase_pro,BTC-USD,2021-10-20T02:46:56.008Z,Sell,0.00005000,64303.14000000,0.01599541,Sold 0.01699112 LTC for 0.00005000 BTC
coinbase_pro,LTC-USD,2021-10-20T02:46:56.008Z,Buy,0.01699112,188.73000000,0.00000000,Bought 0.01699112 LTC with 0.00005000 BTC
coinbase_pro,BTC-USD,2021-10-25T14:40:25.379Z,Sell,0.00004800,60847.91000000,0.01453048,Sold 0.01541142 LTC for 0.00004800 BTC
coinbase_pro,LTC-USD,2021-10-25T14:40:25.379Z,Buy,0.01541142,190.39000000,0.00000000,Bought 0.01541142 LTC with 0.00004800 BTC
coinbase_pro,BTC-USD,2021-11-03T13:06:11.381Z,Sell,0.00004600,63266.50000000,0.01447853,Sold 0.01420105 LTC for 0.00004600 BTC
coinbase_pro,LTC-USD,2021-11-03T13:06:11.381Z,Buy,0.01420105,201.07000000,0.00000000,Bought 0.01420105 LTC with 0.00004600 BTC
